Title,,,,,,,Date,View,Link
"
Just Play 😎"
[Just Play!] 초록창가 (Green Window) - 악동뮤지션 (AKMU) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 5. 18.,"44,010",https://www.youtube.com/watch?v=MDfX10JIw8s&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=59&t=0s
[Just Play!] TOMBOY (톰보이) - 혁오 (HYUKOH) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 5. 5.,"205,192",https://www.youtube.com/watch?v=0RuchZbM3f4&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=60&t=0s
[Just Play!] 스토커(Stalker) - 10cm (십센치) [Guitar Coverㅣ기타 커버] - YouTube,,,,,,,2017. 4. 27.,"317,590",https://www.youtube.com/watch?v=iCaYs4-tQRo&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=61&t=0s
[Just Play!] 고백 (Confession) - 뜨거운 감자 (Hot Potato) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 4. 21.,"127,773",https://www.youtube.com/watch?v=AMqnjk81pqA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=62&t=0s
[Just Play!] 밤편지 (Through the Night) - 아이유 (IU) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 4. 7.,"529,422",https://www.youtube.com/watch?v=qyZRHF50Zf4&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=63&t=0s
[Just Play!] 봄봄봄 (BOM BOM BOM) - 로이킴 (Roy Kim)  [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 3. 31.,"189,933",https://www.youtube.com/watch?v=LcmZ2Aw3O7Y&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=64&t=0s
[Just Play!] 오랜 날 오랜 밤 (LAST GOODBYE) - 악동뮤지션 (AKMU)  [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 3. 23.,"252,701",https://www.youtube.com/watch?v=yiwseQ37LqY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=65&t=0s
[Just Play!] Marry Me - 구윤회(Gu Yoon Heo) l 마크툽 프로젝트 [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 3. 17.,"255,486",https://www.youtube.com/watch?v=m7CH6OKRfzc&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=66&t=0s
[Just Play!] Fine - TAEYEON (태연) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 3. 7.,"75,166",https://www.youtube.com/watch?v=fdUtdSJj4X8&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=67&t=0s
[Just Play!] KNOCK KNOCK - TWICE (트와이스) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 3. 3.,"166,845",https://www.youtube.com/watch?v=iHeFuHH0Tuo&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=68&t=0s
